indiv year
16M12868 2000
16M12869 2002
16M12870 2001
16M12871 1991
16M12872 2004
16M12873 2001
16M12874 1993
16M12875 2000
16M12876 1994
16M12877 2004
16M12878 2005
16M12879 1996
16M12880 2001
16M12881 1989
16M12882 1997
16M12883 1992
16M12884 2005
16M12885 1998
16M12886 2002
16M12887 1991
16M12888 1994
16M12889 1995
16M12890 2005
16M12891 2001
16M12892 1995
16M12893 2004
16M12894 1997
16M12895 1990
16M12896 2003
16M12897 1999
16M12898 1994
16M12899 1997
16M12900 1995
16M12901 2004
16M12902 2003
16M12903 2001
16M12904 2003
16M12905 1999
16M12906 1987
16M12907 1997
16M12908 1989
16M12909 2003
16M12910 2002
16M12911 2005
16M12912 1988
16M12913 2006
16M12914 2001
16M12915 1990
16M12916 1991
16M12917 2008
16M12918 1994
16M12919 1998
16M12920 1997
16M12921 2004
16M12922 2004
16M12923 1998
16M12924 2006
16M12925 1992
16M12926 1992
16M12927 1997
16M12928 2009
16M12929 2008
16M12930 2001
16M12931 1999
16M12933 1984
16M12934 2005
16M12935 1997
16M12936 2001
16M12937 1986
16M12938 1991
16M12939 2008
16M12940 1988
16M12941 2004
16M12942 2008
16M12943 2004
16M12944 1980
16M12945 2005
16M12946 2009
16M12947 1992
16M12948 2006
16M12949 1987
16M12950 2004
16M12951 2001
16M12952 2010
16M12953 1999
16M12954 1984
16M12955 2000
16M12956 2000
12M08387 2001
12M08388 2002
12M08389 2000
12M08390 2001
12M08391 2002
12M08392 2002
12M08393 2002
12M08394 2002
12M08395 1998
12M08396 1993
12M08397 2003
12M08398 2003
12M08399 2002
12M08400 2000
12M08401 2003
12M08402 1993
12M08403 2000
12M08404 2004
12M08405 2003
12M08406 2004
12M08407 2004
12M08408 2004
12M08409 2004
12M08410 2002
12M08411 2003
12M08412 2001
12M08414 1999
12M08415 1999
12M08417 1988
12M08418 2004
12M08419 2004
12M08420 1996
12M08421 1994
12M08425 2002
12M08427 1996
12M08429 2005
12M08430 2005
12M08431 2005
12M08432 2000
12M08433 2005
12M08436 2006
12M08438 2006
12M08439 2007
12M08442 2007
12M08443 1996
12M08444 2004
12M08447 2007
12M08449 2006
12M08456 2005
12M08458 2006
ech1650106 2009
ech1710118 2010
ech1739607 2011
ech1742083 2011
ech1750676 2012
ech1750736 2011
ech1753837 2012
ech1754859 2012
ech1754893 2012
ech1756064 2012
ech1764934 2012
ech1765018 2013
ech1765060 2013
ech1765170 2013
ech1765338 2013
